================================================================================
ANÁLISIS COMPLETO DE RENDIMIENTO DE ALGORITMOS DE ORDENAMIENTO
================================================================================

INFORMACIÓN GENERAL:
- Total de pruebas realizadas: 1000
- Rango de tamaños: 1,000 a 1,000,000 elementos
- Incremento: 1,000 elementos
- Fecha de ejecución: 1/10/2025, 08:00:43

================================================================================
TABLA COMPLETA DE RESULTADOS:
================================================================================
Tamaño         Elementos   Descendente (ms)    Aleatorio (ms)
--------------------------------------------------------------------------------
599,000        599         0.0094              0.0060
600,000        600         0.0093              0.0059
601,000        601         0.0106              0.0063
602,000        602         0.1008              0.0062
603,000        603         0.0098              0.0060
604,000        604         0.0096              0.0061
605,000        605         0.0228              0.0205
606,000        606         0.0238              0.0062
607,000        607         0.0231              0.0061
608,000        608         0.0097              0.0063
609,000        609         0.0098              0.0059
610,000        610         0.0094              0.0192
611,000        611         0.0229              0.0063
612,000        612         0.0092              0.0060
613,000        613         0.0233              0.0193
614,000        614         0.0095              0.0062
615,000        615         0.0094              0.0061
616,000        616         0.0093              0.0059
617,000        617         0.0093              0.0061
618,000        618         0.0093              0.0064
619,000        619         0.0094              0.0061
620,000        620         0.0095              0.0065
621,000        621         0.0094              0.0059
622,000        622         0.0094              0.0061
623,000        623         0.0095              0.0063
624,000        624         0.0251              0.0068
625,000        625         0.0118              0.0062
626,000        626         0.0098              0.0195
627,000        627         0.0095              0.0064
628,000        628         0.0095              0.0061
629,000        629         0.0096              0.0064
630,000        630         0.0095              0.0062
631,000        631         0.0094              0.0064
632,000        632         0.0095              0.0062
633,000        633         0.0096              0.0066
634,000        634         0.0097              0.0062
635,000        635         0.0094              0.0065
636,000        636         0.0095              0.0063
637,000        637         0.0096              0.0061
638,000        638         0.0112              0.0062
639,000        639         0.0100              0.0066
640,000        640         0.0096              0.0063
641,000        641         0.0102              0.0062
642,000        642         0.0097              0.0069
643,000        643         0.0097              0.0063
644,000        644         0.0096              0.0065
645,000        645         0.0095              0.0061
646,000        646         0.0765              0.0064
647,000        647         0.0097              0.0061
648,000        648         0.0119              0.0060
649,000        649         0.0097              0.0060
650,000        650         0.0097              0.0062
651,000        651         0.0097              0.0069
652,000        652         0.0096              0.0067
653,000        653         0.0100              0.0199
654,000        654         0.0241              0.0061
655,000        655         0.0098              0.0063
656,000        656         0.0098              0.0063
657,000        657         0.0097              0.0065
658,000        658         0.0243              0.0066
659,000        659         0.0233              0.0061
660,000        660         0.0099              0.0065
661,000        661         0.0099              0.0078
662,000        662         0.0099              0.0064
663,000        663         0.0098              0.0063
664,000        664         0.0098              0.0064
665,000        665         0.0098              0.0062
666,000        666         0.0103              0.0065
667,000        667         0.0101              0.0064
668,000        668         0.0104              0.0064
669,000        669         0.0099              0.0064
670,000        670         0.0099              0.0063
671,000        671         0.0094              0.0086
672,000        672         0.0100              0.0062
673,000        673         0.0103              0.0063
674,000        674         0.0101              0.0062
675,000        675         0.0100              0.0064
676,000        676         0.0099              0.0063
677,000        677         0.0101              0.0064
678,000        678         0.0100              0.0065
679,000        679         0.0100              0.0066
680,000        680         0.0100              0.0068
681,000        681         0.0100              0.0064
682,000        682         0.0100              0.0064
683,000        683         0.0100              0.0064
684,000        684         0.0102              0.0079
685,000        685         0.0102              0.0064
686,000        686         0.0102              0.0064
687,000        687         0.0103              0.0064
688,000        688         0.0102              0.0065
689,000        689         0.0733              0.0068
690,000        690         0.0102              0.0064
691,000        691         0.0101              0.0064
692,000        692         0.0102              0.0067
693,000        693         0.0102              0.0068
694,000        694         0.0112              0.0085
695,000        695         0.0108              0.0064
696,000        696         0.0101              0.0063
697,000        697         0.0103              0.0065
698,000        698         0.0102              0.0068
699,000        699         0.0104              0.0065
700,000        700         0.0105              0.0065
701,000        701         0.0110              0.0071
702,000        702         0.0103              0.0064
703,000        703         0.0104              0.0065
704,000        704         0.0105              0.0070
705,000        705         0.0136              0.0066
706,000        706         0.0105              0.0071
707,000        707         0.0105              0.0075
708,000        708         0.0103              0.0068
709,000        709         0.0104              0.0071
710,000        710         0.0111              0.0065
711,000        711         0.0107              0.0067
712,000        712         0.0106              0.0066
713,000        713         0.0105              0.0068
714,000        714         0.0128              0.0067
715,000        715         0.0106              0.0066
716,000        716         0.0106              0.0069
717,000        717         0.0105              0.0067
718,000        718         0.0106              0.0070
719,000        719         0.0106              0.0069
720,000        720         0.0112              0.0066
721,000        721         0.0106              0.0069
722,000        722         0.0105              0.0066
723,000        723         0.0107              0.0068
724,000        724         0.0106              0.0067
725,000        725         0.0112              0.0066
726,000        726         0.0108              0.0083
727,000        727         0.0107              0.0067
728,000        728         0.0109              0.0072
729,000        729         0.0107              0.0069
730,000        730         0.0108              0.0733
731,000        731         0.0111              0.0068
732,000        732         0.0107              0.0068
733,000        733         0.0108              0.0068
734,000        734         0.0107              0.0071
735,000        735         0.0109              0.0071
736,000        736         0.0130              0.0068
737,000        737         0.0107              0.0067
738,000        738         0.0109              0.0070
739,000        739         0.0108              0.0068
740,000        740         0.0109              0.0073
741,000        741         0.0109              0.0067
742,000        742         0.0109              0.0072
743,000        743         0.0108              0.0069
744,000        744         0.0109              0.0069
745,000        745         0.0137              0.0078
746,000        746         0.0108              0.0069
747,000        747         0.0112              0.0069
748,000        748         0.0125              0.0070
749,000        749         0.0111              0.0070
750,000        750         0.0110              0.0069
751,000        751         0.0115              0.0070
752,000        752         0.0110              0.0073
753,000        753         0.0110              0.0070
754,000        754         0.0110              0.0072
755,000        755         0.0111              0.0071
756,000        756         0.0112              0.0070
757,000        757         0.0111              0.0094
758,000        758         0.0112              0.0071
759,000        759         0.0111              0.0072
760,000        760         0.0111              0.0070
761,000        761         0.0112              0.0072
762,000        762         0.0113              0.0072
763,000        763         0.0111              0.0073
764,000        764         0.0112              0.0071
765,000        765         0.0111              0.0071
766,000        766         0.0112              0.0071
767,000        767         0.0112              0.0072
768,000        768         0.0112              0.0072
769,000        769         0.0112              0.0088
770,000        770         0.0113              0.0072
771,000        771         0.0123              0.0072
772,000        772         0.0116              0.0072
773,000        773         0.0113              0.0072
774,000        774         0.0113              0.0071
775,000        775         0.0113              0.0071
776,000        776         0.0113              0.0071
777,000        777         0.0113              0.0072
778,000        778         0.0113              0.0090
779,000        779         0.0113              0.0072
780,000        780         0.0114              0.0073
781,000        781         0.0114              0.0071
782,000        782         0.0114              0.0071
783,000        783         0.0114              0.0072
784,000        784         0.0113              0.0073
